timeStamp,humedad,temperatura,sonido
31/01/2023 21:01:31,53,29,63
31/01/2023 21:01:31,53,29,55
31/01/2023 21:01:31,53,29,51
31/01/2023 21:01:32,53,29,52
31/01/2023 21:01:32,53,29,51
31/01/2023 21:01:32,53,29,50
31/01/2023 21:01:32,53,29,51
31/01/2023 21:01:33,53,29,54
31/01/2023 21:01:33,53,29,54
31/01/2023 21:01:33,53,29,52
31/01/2023 21:01:33,53,29,50
31/01/2023 21:01:34,53,29,51
31/01/2023 21:01:34,53,29,52
31/01/2023 21:01:34,53,29,54
31/01/2023 21:01:34,53,29,52
31/01/2023 21:01:35,54,30,51
31/01/2023 21:01:35,54,30,52
31/01/2023 21:01:35,54,30,51
31/01/2023 21:01:36,54,30,51
31/01/2023 21:01:36,54,30,50
31/01/2023 21:01:36,54,30,50
31/01/2023 21:01:36,54,30,50
31/01/2023 21:01:37,54,30,51
31/01/2023 21:01:37,53,29,49
31/01/2023 21:01:37,53,29,50
31/01/2023 21:01:37,53,29,51
31/01/2023 21:01:38,53,29,51
31/01/2023 21:01:38,53,29,50
31/01/2023 21:01:38,53,29,50
31/01/2023 21:01:38,53,29,50
31/01/2023 21:01:39,53,29,50
31/01/2023 21:01:39,51,29,50
31/01/2023 21:01:39,51,29,50
31/01/2023 21:01:39,51,29,50
31/01/2023 21:01:40,51,29,50
31/01/2023 21:01:40,51,29,51
31/01/2023 21:01:40,51,29,51
31/01/2023 21:01:40,51,29,50
31/01/2023 21:01:41,51,29,51
31/01/2023 21:01:41,50,29,51
31/01/2023 21:01:41,50,29,51
31/01/2023 21:01:41,50,29,51
31/01/2023 21:01:42,50,29,51
31/01/2023 21:01:42,50,29,51
31/01/2023 21:01:42,50,29,51
31/01/2023 21:01:42,50,29,51
31/01/2023 21:01:43,50,29,51
31/01/2023 21:01:43,48,29,51
31/01/2023 21:01:43,48,29,51
31/01/2023 21:01:43,48,29,51
31/01/2023 21:01:44,48,29,46
31/01/2023 21:01:44,48,29,48
31/01/2023 21:01:44,48,29,49
31/01/2023 21:01:44,48,29,48
31/01/2023 21:01:45,48,29,52
31/01/2023 21:01:45,47,29,52
31/01/2023 21:01:45,47,29,47
31/01/2023 21:01:45,47,29,44
31/01/2023 21:01:46,47,29,50
31/01/2023 21:01:46,47,29,64
31/01/2023 21:01:46,47,29,64
31/01/2023 21:01:46,47,29,61
31/01/2023 21:01:47,47,29,45
31/01/2023 21:01:47,47,29,56
31/01/2023 21:01:47,47,29,52
31/01/2023 21:01:47,47,29,51
31/01/2023 21:01:48,47,29,50
31/01/2023 21:01:48,47,29,43
31/01/2023 21:01:48,47,29,18
31/01/2023 21:01:48,47,29,33
31/01/2023 21:01:49,47,29,43
31/01/2023 21:01:49,47,29,61
31/01/2023 21:01:49,47,29,61
31/01/2023 21:01:49,47,29,40
31/01/2023 21:01:50,47,29,8
31/01/2023 21:01:50,47,29,78
31/01/2023 21:01:50,47,29,122
31/01/2023 21:01:50,47,29,45
31/01/2023 21:01:51,47,29,28
31/01/2023 21:01:51,48,29,39
31/01/2023 21:01:51,48,29,50
31/01/2023 21:01:52,48,29,49
31/01/2023 21:01:52,48,29,30
31/01/2023 21:01:52,48,29,56
31/01/2023 21:01:52,48,29,64
31/01/2023 21:01:53,48,29,70
31/01/2023 21:01:53,48,29,17
31/01/2023 21:01:53,49,29,58
31/01/2023 21:01:53,49,29,50
31/01/2023 21:01:54,49,29,44
31/01/2023 21:01:54,49,29,73
31/01/2023 21:01:54,49,29,44
31/01/2023 21:01:54,49,29,46
31/01/2023 21:01:55,49,29,48
31/01/2023 21:01:55,49,29,48
31/01/2023 21:01:55,51,29,48
31/01/2023 21:01:55,51,29,32
31/01/2023 21:01:56,51,29,43
31/01/2023 21:01:56,51,29,54
31/01/2023 21:01:56,51,29,52
31/01/2023 21:01:56,51,29,55
31/01/2023 21:01:57,51,29,53
31/01/2023 21:01:57,51,29,45
31/01/2023 21:01:57,52,29,48
31/01/2023 21:01:57,52,29,46
31/01/2023 21:01:58,52,29,57
31/01/2023 21:01:58,52,29,67
31/01/2023 21:01:58,52,29,57
31/01/2023 21:01:58,52,29,76
31/01/2023 21:01:59,52,29,38
31/01/2023 21:01:59,52,29,47
31/01/2023 21:01:59,53,29,48
31/01/2023 21:01:59,53,29,51
31/01/2023 21:02:00,53,29,49
31/01/2023 21:02:00,53,29,50
31/01/2023 21:02:00,53,29,57
31/01/2023 21:02:00,53,29,49
31/01/2023 21:02:01,53,29,49
31/01/2023 21:02:01,53,29,44
31/01/2023 21:02:01,53,30,72
31/01/2023 21:02:01,53,30,47
31/01/2023 21:02:02,53,30,45
31/01/2023 21:02:02,53,30,31
31/01/2023 21:02:02,53,30,97
31/01/2023 21:02:02,53,30,42
31/01/2023 21:02:03,53,30,100
31/01/2023 21:02:03,53,30,49
31/01/2023 21:02:03,54,30,55
31/01/2023 21:02:03,54,30,60
31/01/2023 21:02:04,54,30,51
31/01/2023 21:02:04,54,30,40
31/01/2023 21:02:04,54,30,57
31/01/2023 21:02:04,54,30,43
31/01/2023 21:02:05,54,30,55
31/01/2023 21:02:05,54,30,52
31/01/2023 21:02:05,54,30,53
31/01/2023 21:02:06,54,30,50
31/01/2023 21:02:06,54,30,51
31/01/2023 21:02:06,54,30,48
31/01/2023 21:02:06,54,30,50
31/01/2023 21:02:07,54,30,50
31/01/2023 21:02:07,54,30,49
31/01/2023 21:02:07,54,30,49
31/01/2023 21:02:07,55,30,49
31/01/2023 21:02:08,55,30,49
31/01/2023 21:02:08,55,30,49
31/01/2023 21:02:08,55,30,49
31/01/2023 21:02:08,55,30,49
31/01/2023 21:02:09,55,30,49
31/01/2023 21:02:09,55,30,50
31/01/2023 21:02:09,55,30,50
31/01/2023 21:02:09,54,31,49
31/01/2023 21:02:10,54,31,49
31/01/2023 21:02:10,54,31,49
31/01/2023 21:02:10,54,31,49
31/01/2023 21:02:10,54,31,49
31/01/2023 21:02:11,54,31,49
31/01/2023 21:02:11,54,31,49
31/01/2023 21:02:11,54,31,49
31/01/2023 21:02:11,53,30,49
31/01/2023 21:02:12,53,30,49
31/01/2023 21:02:12,53,30,49
31/01/2023 21:02:12,53,30,49
31/01/2023 21:02:12,53,30,49
31/01/2023 21:02:13,53,30,50
31/01/2023 21:02:13,53,30,49
31/01/2023 21:02:13,53,30,50
31/01/2023 21:02:13,52,30,49
31/01/2023 21:02:14,52,30,49
31/01/2023 21:02:14,52,30,49
31/01/2023 21:02:14,52,30,50
31/01/2023 21:02:14,52,30,50
31/01/2023 21:02:15,52,30,50
31/01/2023 21:02:15,52,30,50
31/01/2023 21:02:15,52,30,50
31/01/2023 21:02:15,51,30,50
31/01/2023 21:02:16,51,30,50
31/01/2023 21:02:16,51,30,50
31/01/2023 21:02:16,51,30,50
31/01/2023 21:02:16,51,30,50
31/01/2023 21:02:17,51,30,50
31/01/2023 21:02:17,51,30,50
31/01/2023 21:02:17,51,30,50
31/01/2023 21:02:17,49,30,50
31/01/2023 21:02:18,49,30,50
31/01/2023 21:02:18,49,30,50
31/01/2023 21:02:18,49,30,50
31/01/2023 21:02:18,49,30,50
31/01/2023 21:02:19,49,30,50
31/01/2023 21:02:19,49,30,50
31/01/2023 21:02:19,49,30,50
31/01/2023 21:02:19,47,30,50
31/01/2023 21:02:20,47,30,50
31/01/2023 21:02:20,47,30,50
31/01/2023 21:02:20,47,30,50
31/01/2023 21:02:21,47,30,50
31/01/2023 21:02:21,47,30,50
31/01/2023 21:02:21,47,30,50
31/01/2023 21:02:21,47,30,50
31/01/2023 21:02:22,46,30,50
31/01/2023 21:02:22,46,30,51
31/01/2023 21:02:22,46,30,50
31/01/2023 21:02:22,46,30,50
31/01/2023 21:02:23,46,30,50
31/01/2023 21:02:23,46,30,51
31/01/2023 21:02:23,46,30,50
31/01/2023 21:02:23,46,30,51
31/01/2023 21:02:24,46,30,51
31/01/2023 21:02:24,46,30,51
31/01/2023 21:02:24,46,30,51
31/01/2023 21:02:24,46,30,51
31/01/2023 21:02:25,46,30,51
31/01/2023 21:02:25,46,30,51
31/01/2023 21:02:25,46,30,51
31/01/2023 21:02:25,46,30,51
